,GEOID,Trip_Miles,Trip_Seconds
0,17031010100,7.179773940702034,1180.483869135522
1,17031010201,6.4507807291483905,1080.175409663497
2,17031010202,4.7428004999353535,882.3455156660776
3,17031010300,6.86902462154473,1144.7607038741176
4,17031010400,7.030326797385621,1185.8536859705123
5,17031010501,7.2474705330134555,1185.7978512569105
6,17031010502,7.175433903946743,1180.9836543033762
7,17031010503,6.5966956034724165,1100.8501820218426
8,17031010600,6.392463790566183,1100.3309839155243
9,17031010701,6.205611296915644,1106.4920104050539
10,17031010702,6.258966929763213,1079.8751623538815
11,17031020100,5.781102362204725,1029.636670416198
12,17031020200,6.853436155702444,1123.2830762774106
13,17031020301,6.912844036697248,1201.705985146352
14,17031020302,6.349327052489906,1105.8731493943471
15,17031020400,6.385857371794872,1112.281450320513
16,17031020500,6.101279317697228,1094.4224348640075
17,17031020601,6.268917819365337,1114.8224572823433
18,17031020602,6.50953246124031,1182.3777858527133
19,17031020701,6.005046040515654,1095.2195211786373
20,17031020702,6.77271630472251,1121.903050672182
21,17031020801,5.8156567164179105,1060.649776119403
22,17031020802,5.98821550512151,1065.5703956617795
23,17031020901,6.022596630327056,1098.118853396356
24,17031020902,5.28752003847387,964.4563161269638
25,17031030101,6.335365953947369,1019.71015625
26,17031030102,6.537335167985322,1060.492374727669
27,17031030103,6.247696325312442,1039.91130386122
28,17031030104,7.471580448593285,1229.803059769221
29,17031030200,6.19523123835338,1051.820543226608
30,17031030300,5.865076178103224,1036.0427542222747
31,17031030400,5.43516761543327,977.6924189030451
32,17031030500,6.140638723472742,1013.6778332145402
33,17031030601,6.5515765765765765,1041.5158266374483
34,17031030603,6.103233973050225,988.0889342588812
35,17031030604,6.5988770424578895,1004.5105671566463
36,17031030701,6.128449559918754,990.6678402166553
37,17031030702,6.96874518860662,1139.635103926097
38,17031030703,5.195362865221489,891.4512346842602
39,17031030706,5.854439314569831,950.2038089319009
40,17031030800,5.023930896459708,923.5095120885188
41,17031030900,4.50766334440753,863.4612679955703
42,17031031000,5.19564291688845,961.8889057866322
43,17031031100,5.323454139347215,947.7941782549175
44,17031031200,5.663773346231118,960.8438313862639
45,17031031300,5.979946969849146,973.2796938714018
46,17031031400,5.312691398304647,874.0889698821926
47,17031031501,5.919794021602613,973.0100979653354
48,17031031502,5.422954735459214,902.2812134241012
49,17031031700,5.476078720424559,961.1532247364929
50,17031031800,4.760582444626743,941.7162428219852
51,17031031900,4.7188649334178825,924.8017332487846
