,Unnamed: 0,GEOID,MedianIncome,Pickup,TotalPopulation,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit
64,64,17031050300,116806,186.0,2723,29.93408206,7.199250765,0.18767723,0.619056717,312.4833333
65,65,17031050500,205417,805.0,6069,37.86251906,3.213255359,0.233311417,0.269914753,271.442
66,66,17031050600,216477,956.0,2177,26.60893153,32.83709388,0.028947962,2.128624311,234.7
67,67,17031050700,171429,96.0,1610,39.65033371,4.654604392,0.160712675,0.277941176,210.56
68,68,17031050800,196250,125.0,1457,36.2146582,6.015063339,0.161058048,0.398026316,207.87
69,69,17031050900,137083,53.0,1302,32.38072941,2.213429276,0.193536268,0.164814815,209.21
70,70,17031051000,160577,157.0,1718,41.72358163,5.75581423,0.234465312,0.331932773,221.28
71,71,17031051100,175508,304.0,1654,41.88582441,7.394595361,0.169781712,0.482644628,210.56
72,72,17031051200,182031,265.0,1594,39.18121375,8.677234916,0.26999017,0.620869507,223.965
73,73,17031051300,200179,488.0,2826,35.64832455,4.529568351,0.211936811,0.304755545,224.635
74,74,17031051400,162143,782.0,1796,25.50222662,4.211780438,0.130440525,0.370716075,233.355
75,75,17031060100,138333,501.0,2852,35.36093513,5.31734706,0.048750064,0.343455423,258.8366667
76,76,17031060200,152946,384.0,2324,29.62809517,25.06562485,0.111140894,2.24450976,262.19
77,77,17031060300,172150,1034.0,3214,40.75895164,7.470730992,0.187563338,0.439901891,217.26
78,78,17031060400,197679,2341.0,3779,46.29918089,10.94638723,0.091176471,0.614986373,219.9433333
79,79,17031060500,171750,557.0,1295,23.5868332,4.608084016,0.199013158,0.335543767,142.16
80,80,17031060800,124417,4655.0,5048,109.7627103,11.64061876,0.087037037,0.126332873,294.15
81,81,17031060900,88770,8538.0,7114,122.934826,8.71029233,0.102240896,0.137856332,228.794
82,82,17031061000,151875,3258.0,2208,51.70646982,15.03421813,0.150413223,0.597765363,246.77
83,83,17031061100,170893,2060.0,1379,44.7772338,54.06388272,0.069898058,2.765780731,146.18
84,84,17031061200,215455,1097.0,1961,45.43458107,6.78854271,0.034003021,0.375160051,221.28
85,85,17031061500,165729,1130.0,1888,47.43656619,13.94454144,0.143721352,0.686881188,223.97
86,86,17031061800,120438,942.0,1340,65.51856016,10.36562295,0.135621584,0.304160689,100.58
87,87,17031061901,118313,3358.0,3597,91.41423659,9.412879257,0.324069931,0.16650984,270.5725
88,88,17031061902,125950,4515.0,4653,128.7593708,7.120154809,0.107826921,0.0542028,123.3825
89,89,17031062000,160133,5016.0,2981,51.86813695,13.66119766,0.14771422,0.484862901,283.645
90,90,17031062100,182969,7091.0,3772,68.78697501,21.99766062,0.50530504,0.721531686,231.5666667
91,91,17031062200,173250,3457.0,2719,45.37000392,8.21296653,0.195287428,0.41381393,398.98
92,92,17031062300,250000,609.0,1602,39.6985211,10.03614298,0.414468216,0.580229226,341.99
93,93,17031062400,201250,1041.0,1576,39.14410948,11.20177245,0.32122905,0.626388889,244.08
94,94,17031062500,201964,1254.0,1575,39.58893733,28.83080071,0.280730897,1.610955056,202.51
95,95,17031062600,250000,808.0,2370,30.03313248,11.82316988,0.308578745,0.959876543,281.64
96,96,17031062700,237500,2046.0,2885,35.6676032,18.21129544,0.193069307,1.375487014,288.7866667
97,97,17031062800,250000,3059.0,3625,45.21099007,11.11791094,0.464849354,0.635571873,301.75
98,98,17031062900,210089,4726.0,3818,47.78111194,8.408535055,0.511945424,0.356395241,339.75
99,99,17031063000,183438,7307.0,3448,46.54912001,42.05270775,0.327374094,2.15329803,203.85
100,100,17031063100,165278,3041.0,2310,59.96616433,35.4101734,0.434363209,1.10316708,217.93
101,101,17031063200,174402,8128.0,6897,118.3342188,10.26091488,0.40783158,0.158025488,157.5816667
102,102,17031063301,131971,1911.0,2768,120.9670638,15.9755645,0.157510655,0.213553711,191.3333333
103,103,17031063302,133618,5734.0,3781,127.2088568,10.88335803,0.23495702,0.149227464,201.8375
104,104,17031063303,155179,1261.0,1223,80.22060248,35.0937198,0.156944444,0.729039132,127.405
105,105,17031063400,201949,3856.0,2318,62.2453446,22.49830309,0.158707865,0.824250986,155.57
106,106,17031070101,127076,6587.0,3878,140.7509474,14.46223786,0.106995885,0.262695604,281.19
107,107,17031070102,250000,3668.0,2920,110.7743143,29.67150148,0.14534924,0.469452415,208.7666667
108,108,17031070103,71473,1865.0,1621,95.06818719,17.1649046,0.194329133,0.243371265,205.865
109,109,17031070200,163182,7652.0,4283,52.09040649,29.6654365,0.262849023,1.189873055,297.28
110,110,17031070300,221023,6872.0,3575,44.37624566,15.503816,0.381920957,0.758715246,223.295
111,111,17031070400,250000,2969.0,3237,41.57758239,14.29586603,0.420000774,0.635385563,327.68
112,112,17031070500,250000,2456.0,3421,46.44241172,22.01250367,0.434534509,1.234578728,286.1066667
113,113,17031070600,184196,2551.0,3257,39.81584462,6.505812679,0.59140753,0.411902115,328.57
114,114,17031070700,195724,3559.0,4272,27.22915462,11.09514142,0.514776644,1.297684062,315.165
115,115,17031071000,250000,2667.0,4604,61.37460006,6.508874158,0.490650159,0.761583012,180.38
116,116,17031071100,233947,6118.0,3180,41.32050258,26.03676185,0.381786773,1.862049842,173.675
117,117,17031071200,117188,5485.0,2024,30.71823343,20.78726843,0.452865883,1.471336521,180.38
118,118,17031071300,205515,3558.0,3982,52.11627905,10.38891172,0.432936451,0.427963752,192.45
119,119,17031071400,196053,7184.0,4745,82.89015571,28.38417323,0.479973446,0.697945527,121.035
120,120,17031071500,185179,14410.0,6065,80.58879833,19.86672378,0.284323324,0.457168698,181.0533333
121,121,17031071600,201875,295.0,1832,46.45852638,4.894375323,0.233079222,0.261163735,197.14
122,122,17031071700,203438,340.0,1729,43.77671779,2.756176384,0.26318419,0.166503537,411.725
123,123,17031071800,183125,1417.0,2741,33.81258255,12.07901006,0.195803802,0.831265953,236.71
124,124,17031080100,250000,7523.0,6795,132.4363199,15.28534691,0.082533336,0.225233282,176.07
125,125,17031080201,151856,3076.0,3141,97.96507367,21.54321148,0.192120204,0.317533251,164.96
126,126,17031080202,173220,7518.0,3302,82.88755235,32.16165133,0.217503218,0.628259756,140.37
127,127,17031080300,200771,16179.0,4770,51.63024178,30.10390995,0.242864121,1.267242664,227.6525
128,128,17031080400,38824,5123.0,4142,52.83144388,9.367764456,0.386998555,0.71192275,343.7733333
129,129,17031081000,143750,14595.0,7439,123.4335028,55.57213543,0.234930423,0.909686952,109.3033333
130,130,17031081100,140982,9086.0,4092,181.5817039,141.706115,0.408582137,1.098940902,156.91
131,131,17031081201,250000,16771.0,4500,109.3687691,236.0122538,0.364623955,3.789877223,259.7333333
132,132,17031081202,215813,5613.0,2951,92.41091899,37.69015351,0.212449256,0.953094269,239.055
133,133,17031081300,157708,12438.0,5313,130.6556612,230.7047871,0.17928309,3.847836189,179.485
134,134,17031081401,250000,16203.0,2342,34.62500421,439.9863871,0.145990782,18.66022267,217.26
135,135,17031081402,228750,15322.0,5325,144.1555903,30.43042705,0.357954625,0.766775862,168.0866667
136,136,17031081403,184697,26511.0,8046,133.5434902,245.8460276,0.269163504,3.183314096,161.8266667
137,137,17031081500,211600,25771.0,4585,72.26034147,377.2073503,0.423470429,8.443777157,181.4966667
138,138,17031081600,180208,14714.0,4000,115.1099115,152.8665851,0.251860628,1.832251901,109.97
139,139,17031081700,145526,32456.0,3831,55.19337672,181.8040685,0.331919661,7.036731377,97.9
140,140,17031081800,246467,32971.0,9919,63.27143092,192.1200884,0.622853746,6.110166747,210.11
141,141,17031081900,153125,842.0,923,27.20620134,3.036011634,0.628433471,0.250608273,932.08
142,142,17031090100,130250,10.0,3508,15.19564054,1.529011342,0.498470522,0.244544944,382.22
143,143,17031090200,157083,621.0,6838,18.21324998,2.408585779,0.290929895,0.316809689,281.904
144,144,17031100100,100639,246.0,5563,19.50182797,4.637481543,0.512820519,0.634250923,173.272
145,145,17031100200,111138,347.0,6872,13.77678794,2.563169551,0.498498651,0.489531687,325.5085714
146,146,17031100300,116406,104.0,6186,11.70695998,1.853065891,0.325217931,0.454913039,451.9566667
147,147,17031100400,113553,106.0,3364,15.87478719,19.05208089,0.482019836,4.613476723,281.6366667
148,148,17031100500,113080,157.0,5696,12.5999332,3.621320316,0.310325416,0.64853848,586.338
149,149,17031100600,87061,101.0,4789,16.27655392,2.637783544,0.580278562,0.443324065,233.02
150,150,17031100700,101806,25.0,4700,15.64823455,0.617183535,0.576826654,0.099569876,416.016
151,151,17031110100,100392,562.0,5367,18.79152653,4.733819791,0.283566472,0.8774756,302.022
152,152,17031110200,107267,66.0,3433,23.91157734,10.1406105,0.233576642,1.248040422,245.425
153,153,17031110300,93517,31.0,5720,19.31247107,0.88933717,0.103296964,0.139246836,306.848
154,154,17031110400,72437,95.0,4467,21.49065322,2.52873108,0.031826392,0.315555263,242.2966667
155,155,17031110501,94836,146.0,5390,27.2843813,3.35106385,0.030181087,0.402181113,317.846
156,156,17031110502,92868,524.0,3612,24.90822533,9.933598923,0.085041224,0.790476998,300.41
157,157,17031120100,166719,113.0,4102,9.689807453,1.386555461,0.135089419,0.425836039,272.585
158,158,17031120200,153472,108.0,4725,11.6953158,4.077187776,0.164253225,1.092760892,312.1475
159,159,17031120300,155640,151.0,6516,13.15896396,4.375223929,0.085117848,0.835876451,454.415
160,160,17031120400,113359,98.0,3749,17.6859241,2.231107895,0.134598712,0.385892571,315.1633333
161,161,17031130100,83875,406.0,5228,13.57809813,4.764665042,0.067462798,1.089925386,585.6233333
162,162,17031130200,103125,49.0,1547,3.294575748,3.635320493,0.058599231,2.602134146,473.42
163,163,17031130300,63571,216.0,5482,37.33942756,3.387399172,0.103587306,0.384138783,220.95
164,164,17031140100,54129,264.0,3527,62.15774824,3.66443151,0.195460622,0.177886165,236.705
165,165,17031140200,45969,504.0,6429,64.60942756,14.13869921,0.071551056,0.734754043,212.7933333
166,166,17031140301,56250,114.0,2700,66.56503416,3.944521525,0.107054399,0.206430775,118.69
167,167,17031140302,93141,129.0,4127,41.52177797,4.114008269,0.055832734,0.329051031,344.2233333
168,168,17031140400,94344,555.0,6011,22.76851132,3.691354672,0.226923664,0.552095656,404.48
169,169,17031140500,70875,78.0,4264,37.09450856,4.328883049,0.018962867,0.377842756,307.5633333
170,170,17031140601,51053,85.0,2927,43.52960506,3.048708246,0.035652165,0.222342733,193.12
171,171,17031140602,61875,517.0,4822,57.12682223,2.25459504,0.045429362,0.120022477,329.915
172,172,17031140701,68000,267.0,2920,54.97850892,4.836342121,0.07681246,0.256532915,172.335
173,173,17031140702,63219,648.0,6162,60.11597425,4.821022359,0.247000717,0.289838212,257.83
174,174,17031140800,98056,1048.0,6454,36.72309294,3.343507388,0.056402439,0.23775314,324.016
175,175,17031150200,85284,1267.0,7747,26.77865164,6.132115367,0.154906961,0.615546011,232.548
176,176,17031150300,102725,620.0,7859,28.81122887,3.90378937,0.304828151,0.380431037,231.2471429
