GEOID,MedianIncome,Pickup,,,,,,,,Row Labels, TotalPopulation,Population_Denisty, Employment_Density,Percent_Zero_Car_Ownership, LandUse_Diversity,Distancefromthepopulation-weightedcentroidto nearesttransit station
17031040600,106375,152,,,,,,,,17031031502,4651,379.14126,22.68381681,1.578803456,0.344979134,508.28
17031040700,130281,73,,,,,,,,17031031700,6691,225.6497299,22.73932599,1.60960634,0.808920716,1247.24
17031040800,109688,7,,,,,,,,17031031800,1857,34.68875389,16.98011701,0.284679089,0.940993789,238.72
17031040900,180278,76,,,,,,,,17031031900,2566,80.62838837,18.92361524,0.60603875,0.95557814,516.33
17031050100,158750,104,,,,,,,,17031032100,6837,426.4792053,71.66581253,2.251328002,3.457643709,535.1
17031050200,159821,289,,,,,,,,17031040100,3879,72.66261615,9.163791921,0.374303979,2.215673798,878.43
17031050300,116806,37,,,,,,,,17031040201,6891,161.0417198,69.50164063,0.75070892,5.251733685,957.55
17031050500,205417,200,,,,,,,,17031040202,7265,190.0787338,13.35144879,0.933245668,0.68148916,995.11
17031050600,216477,183,,,,,,,,17031040300,2925,61.01527127,9.767687006,0.086843885,1.569258889,945.48
17031050700,171429,35,,,,,,,,17031040401,3347,143.0548839,12.30362578,0.642850697,1.063906384,966.95
17031050800,196250,17,,,,,,,,17031040402,5269,202.0206638,27.01223888,0.805290241,1.056244706,737.61
17031050900,137083,5,,,,,,,,17031040600,2514,90.76412275,31.14872377,0.580608803,2.189080658,921.35
17031051000,160577,27,,,,,,,,17031040700,3440,166.8720643,27.29079133,0.937861249,1.436822595,946.84
17031051100,175508,33,,,,,,,,17031040800,1829,69.08707561,49.32682771,0.339563423,3.003930914,418.43
17031051200,182031,71,,,,,,,,17031040900,1842,57.1250779,16.09071747,0.539980339,1.001759646,604.84
17031051300,200179,108,,,,,,,,17031050100,2731,63.18303208,23.13760736,0.423873621,1.775572745,520.36
17031051400,162143,191,,,,,,,,17031050200,5431,105.9746871,24.04576428,0.391321573,1.803437147,721.52
17031060100,138333,109,,,,,,,,17031050300,2723,89.80224617,21.5977523,0.14625019,1.857170152,937.45
17031060200,152946,71,,,,,,,,17031050500,6069,189.3125953,16.06627679,0.555704473,1.349573763,1357.21
17031060300,172150,238,,,,,,,,17031050600,2177,53.21786306,65.67418777,0.375126675,4.257248621,469.4
17031060400,197679,445,,,,,,,,17031050700,1610,39.65033371,4.654604392,0.091176471,0.277941176,210.56
17031060500,171750,119,,,,,,,,17031050800,1457,36.2146582,6.015063339,0.199013158,0.398026316,207.87
17031060800,124417,849,,,,,,,,17031050900,1302,32.38072941,2.213429276,0.087037037,0.164814815,209.21
17031060900,88770,1511,,,,,,,,17031051000,1718,41.72358163,5.75581423,0.102240896,0.331932773,221.28
17031061000,151875,617,,,,,,,,17031051100,1654,41.88582441,7.394595361,0.150413223,0.482644628,210.56
17031061100,170893,296,,,,,,,,17031051200,1594,78.36242748,17.35446983,0.139796114,1.241739013,447.93
17031061200,215455,231,,,,,,,,17031051300,2826,71.29664909,9.059136701,0.068006042,0.60951109,449.27
17031061500,165729,303,,,,,,,,17031051400,1796,51.00445323,8.423560875,0.287442703,0.74143215,466.71
17031061800,120438,173,,,,,,,,17031060100,2852,106.0828054,15.95204118,0.406864751,1.030366268,776.51
17031061901,118313,703,,,,,,,,17031060200,2324,59.25619033,50.1312497,0.648139861,4.48901952,524.38
17031061902,125950,707,,,,,,,,17031060300,3214,81.51790326,14.94146198,0.215653841,0.879803781,434.52
17031062000,160133,942,,,,,,,,17031060400,3779,138.8975427,32.8391617,0.443142659,1.844959119,659.83
17031062100,182969,1387,,,,,,,,17031060500,1295,23.5868332,4.608084016,0.50530504,0.335543767,142.16
17031062200,173250,693,,,,,,,,17031060800,5048,329.2881309,34.92185628,0.585862285,0.37899862,882.45
17031062300,250000,208,,,,,,,,17031060900,7114,614.6741299,43.55146165,2.07234108,0.689281658,1143.97
17031062400,201250,184,,,,,,,,17031061000,2208,51.70646982,15.03421813,0.32122905,0.597765363,246.77
17031062500,201964,274,,,,,,,,17031061100,1379,44.7772338,54.06388272,0.280730897,2.765780731,146.18
17031062600,250000,125,,,,,,,,17031061200,1961,45.43458107,6.78854271,0.308578745,0.375160051,221.28
17031062700,237500,529,,,,,,,,17031061500,1888,47.43656619,13.94454144,0.193069307,0.686881188,223.97
17031062800,250000,598,,,,,,,,17031061800,1340,65.51856016,10.36562295,0.464849354,0.304160689,100.58
17031062900,210089,1074,,,,,,,,17031061901,3597,365.6569464,37.65151702,2.047781695,0.66603936,1082.29
17031063000,183438,1575,,,,,,,,17031061902,4653,515.0374833,28.48061924,1.309496374,0.216811201,493.53
17031063100,165278,595,,,,,,,,17031062000,2981,103.7362739,27.32239532,0.868726418,0.969725801,567.29
17031063200,174402,1517,,,,,,,,17031062100,3772,206.360925,65.99298187,1.22349474,2.164595059,694.7
17031063301,131971,433,,,,,,,,17031062200,2719,90.74000784,16.42593306,0.31502131,0.827627859,797.96
17031063302,133618,1170,,,,,,,,17031062300,1602,39.6985211,10.03614298,0.23495702,0.580229226,341.99
17031063303,155179,142,,,,,,,,17031062400,1576,39.14410948,11.20177245,0.156944444,0.626388889,244.08
17031063400,201949,787,,,,,,,,17031062500,1575,39.58893733,28.83080071,0.158707865,1.610955056,202.51
17031070101,127076,985,,,,,,,,17031062600,2370,30.03313248,11.82316988,0.106995885,0.959876543,281.64
17031070102,250000,695,,,,,,,,17031062700,2885,107.0028096,54.63388632,0.43604772,4.126461043,866.36
17031070103,71473,453,,,,,,,,17031062800,3625,135.6329702,33.35373283,0.582987399,1.906715618,905.25
17031070200,163182,1503,,,,,,,,17031062900,3818,143.3433358,25.22560516,0.78854707,1.069185724,1019.25
17031070300,221023,1354,,,,,,,,17031063000,3448,139.64736,126.1581232,1.14576287,6.459894089,611.55
17031070400,250000,737,,,,,,,,17031063100,2310,119.9323286,70.82034679,0.840001548,2.206334159,435.86
17031070500,250000,479,,,,,,,,17031063200,6897,710.0053129,61.56548926,2.607207051,0.94815293,945.49
17031070600,184196,435,,,,,,,,17031063301,2768,362.9011913,47.92669349,1.77422259,0.640661132,574
17031070700,195724,737,,,,,,,,17031063302,3781,508.8354272,43.53343212,2.059106577,0.596909854,807.35
17031071000,250000,553,,,,,,,,17031063303,1223,160.441205,70.18743959,0.981300317,1.458078263,254.81
17031071100,233947,1062,,,,,,,,17031063400,2318,124.4906892,44.99660618,0.763573547,1.648501972,311.14
17031071200,117188,947,,,,,,,,17031070101,3878,422.2528423,43.38671357,1.35859765,0.788086813,843.57
17031071300,205515,818,,,,,,,,17031070102,2920,332.3229428,89.01450444,1.298809354,1.408357244,626.3
17031071400,196053,1428,,,,,,,,17031070103,1621,190.1363744,34.3298092,0.959946892,0.48674253,411.73
17031071500,185179,2484,,,,,,,,17031070200,4283,156.2712195,88.99630951,0.852969972,3.569619164,891.84
17031071600,201875,99,,,,,,,,17031070300,3575,88.75249132,31.007632,0.466158444,1.517430491,446.59
17031071700,203438,83,,,,,,,,17031070400,3237,124.7327472,42.88759809,0.789552571,1.906156688,983.04
17031071800,183125,300,,,,,,,,17031070500,3421,139.3272351,66.03751103,0.587411406,3.703736185,858.32
17031080100,250000,1483,,,,,,,,17031070600,3257,79.63168923,13.01162536,0.165066672,0.82380423,657.14
17031080201,151856,638,,,,,,,,17031070700,4272,54.45830923,22.19028284,0.384240408,2.595368123,630.33
17031080202,173220,1451,,,,,,,,17031071000,4604,122.7492001,13.01774832,0.435006435,1.523166023,360.76
17031080300,200771,2877,,,,,,,,17031071100,3180,82.64100516,52.0735237,0.485728241,3.724099683,347.35
17031080400,38824,1079,,,,,,,,17031071200,2024,61.43646686,41.57453687,0.773997109,2.942673041,360.76
17031081000,143750,2829,,,,,,,,17031071300,3982,104.2325581,20.77782343,0.469860846,0.855927503,384.9
17031081100,140982,1642,,,,,,,,17031071400,4745,331.5606229,113.5366929,1.63432855,2.791782109,484.14
17031081201,250000,2942,,,,,,,,17031071500,6065,483.53279,119.2003427,2.187743729,2.743012187,1086.32
17031081202,215813,768,,,,,,,,17031071600,1832,46.45852638,4.894375323,0.212449256,0.261163735,197.14
17031081300,157708,2141,,,,,,,,17031071700,1729,87.55343556,5.512352767,0.358566179,0.333007074,823.45
17031081401,250000,3594,,,,,,,,17031071800,2741,67.6251651,24.15802011,0.291981562,1.662531906,473.42
17031081402,228750,1912,,,,,,,,17031080100,6795,927.0542393,106.9974284,2.505682377,1.576632973,1232.49
17031081403,184697,4143,,,,,,,,17031080201,3141,293.895221,64.62963444,0.807490514,0.952599752,494.88
17031081500,211600,4526,,,,,,,,17031080202,3302,248.662657,96.48495399,1.270411287,1.884779269,421.11
17031081600,180208,2409,,,,,,,,17031080300,4770,206.5209671,120.4156398,1.007442513,5.068970654,910.61
17031081700,145526,5220,,,,,,,,17031080400,4142,158.4943317,28.10329337,0.995758984,2.135768251,1031.32
17031081800,246467,6054,,,,,,,,17031081000,7439,740.6010168,333.4328126,3.737122474,5.458121709,655.82
17031081900,153125,178,,,,,,,,17031081100,4092,544.7451117,425.118345,1.885300414,3.296822707,470.73
17031090100,130250,3,,,,,,,,17031081201,4500,328.1063072,708.0367614,1.495411567,11.36963167,779.2
17031090200,157083,50,,,,,,,,17031081202,2951,369.6436759,150.760614,1.16371958,3.812377076,956.22
17031100100,100639,43,,,,,,,,17031081300,5313,783.9339669,1384.228723,3.076923116,23.08701713,1076.91
17031100200,111138,54,,,,,,,,17031081401,2342,69.2500084,879.9727741,0.996997301,37.32044534,434.52
17031100300,116406,3,,,,,,,,17031081402,5325,432.4667709,91.29128114,0.975653792,2.300327585,504.26
17031100400,113553,20,,,,,,,,17031081403,8046,400.6304707,737.5380829,1.446059508,9.549942289,485.48
17031100500,113080,17,,,,,,,,17031081500,4585,216.7810244,1131.622051,0.930976248,25.33133147,544.49
17031100600,87061,22,,,,,,,,17031081600,4000,230.219823,305.7331701,1.160557125,3.664503802,219.94
17031100700,101806,8,,,,,,,,17031081700,3831,110.3867534,363.608137,1.153653308,14.07346275,195.8
17031110100,100392,138,,,,,,,,17031081800,9919,189.8142928,576.3602652,0.850699418,18.33050024,630.33
17031110200,107267,7,,,,,,,,17031081900,923,27.20620134,3.036011634,0.233576642,0.250608273,932.08
17031110300,93517,15,,,,,,,,17031090100,3508,60.78256216,6.116045366,0.413187854,0.978179776,1528.88
17031110400,72437,12,,,,,,,,17031090200,6838,91.06624988,12.0429289,0.159131961,1.584048446,1409.52
17031110501,94836,22,,,,,,,,17031090300,1378,12.97127475,14.65622263,0.030181087,3.132796781,316.5
17031110502,92868,106,,,,,,,,17031100100,5563,97.50913986,23.18740772,0.42520612,3.171254615,866.36
17031120100,166719,12,,,,,,,,17031100200,6872,96.43751556,17.94218685,0.945625933,3.426721806,2278.56
17031120200,153472,16,,,,,,,,17031100300,6186,70.24175989,11.11839535,0.985519346,2.729478234,2711.74
17031120300,155640,34,,,,,,,,17031100400,3364,47.62436156,57.15624268,0.255353542,13.84043017,844.91
17031120400,113359,10,,,,,,,,17031100500,5696,62.999666,18.10660158,0.672993559,3.242692401,2931.69
17031130100,83875,56,,,,,,,,17031100600,4789,65.10621567,10.55113418,0.269851192,1.773296259,932.08
17031130200,103125,10,,,,,,,,17031100700,4700,78.24117272,3.085917675,0.292996158,0.497849379,2080.08
17031130300,63571,46,,,,,,,,17031110100,5367,93.95763266,23.66909896,0.517936532,4.387377998,1510.11
17031140100,54129,49,,,,,,,,17031110200,3433,47.82315468,20.281221,0.390921243,2.496080843,490.85
17031140200,45969,135,,,,,,,,17031110300,5720,96.56235533,4.446685848,0.357755279,0.696234182,1534.24
17031140301,56250,18,,,,,,,,17031110400,4467,64.47195965,7.586193242,0.321163196,0.946665788,726.89
17031140302,93141,39,,,,,,,,17031110501,5390,136.4219065,16.75531925,0.27916367,2.010905566,1589.23
17031140400,94344,113,,,,,,,,17031110502,3612,49.81645065,19.86719784,0.453847327,1.580953995,600.82
17031140500,70875,32,,,,,,,,17031120100,4102,38.75922981,5.546221842,0.075851465,1.703344155,1090.34
17031140601,51053,21,,,,,,,,17031120200,4725,46.78126318,16.30875111,0.142608657,4.371043569,1248.59
17031140602,61875,90,,,,,,,,17031120300,6516,78.95378374,26.25134357,0.272576171,5.015258706,2726.49
17031140701,68000,47,,,,,,,,17031120400,3749,53.0577723,6.693323686,0.230437381,1.157677712,945.49
17031140702,63219,124,,,,,,,,17031130100,5228,40.73429439,14.29399513,0.74100215,3.269776158,1756.87
17031140800,98056,200,,,,,,,,17031130200,1547,3.294575748,3.635320493,0.056402439,2.602134146,473.42
17031150200,85284,166,,,,,,,,17031130300,5482,149.3577102,13.54959669,0.619627844,1.536555132,883.8
17031150300,102725,126,,,,,,,,17031140100,3527,124.3154965,7.328863019,0.609656301,0.35577233,473.41
17031150401,80337,28,,,,,,,,17031140200,6429,193.8282827,42.41609764,1.005619397,2.204262128,638.38
17031150402,99345,16,,,,,,,,17031140301,2700,133.1300683,7.889043049,0.476791871,0.412861549,237.38
17031150501,89250,11,,,,,,,,17031140302,4127,124.5653339,12.34202481,0.326321778,0.987153094,1032.67
17031150502,76576,19,,,,,,,,17031140400,6011,113.8425566,18.45677336,0.619893032,2.76047828,2022.4
17031150600,84507,11,,,,,,,,17031140500,4264,111.2835257,12.98664915,0.399785816,1.133528269,922.69
17031150700,85714,26,,,,,,,,17031140601,2927,43.52960506,3.048708246,0.236442516,0.222342733,193.12
17031150800,68320,85,,,,,,,,17031140602,4822,228.5072889,9.018380158,1.039296389,0.480089908,1319.66
17031151001,81042,12,,,,,,,,17031140701,2920,109.9570178,9.67268424,0.458510638,0.513065829,344.67
17031151002,64741,72,,,,,,,,17031140702,6162,240.463897,19.28408944,0.768632674,1.159352846,1031.32
17031151100,63125,42,,,,,,,,17031140800,6454,183.6154647,16.71753694,0.737616392,1.188765701,1620.08
17031151200,81410,41,,,,,,,,17031150200,7747,133.8932582,30.66057683,0.901544726,3.077730057,1162.74
17031160100,79643,15,,,,,,,,17031150300,7859,201.6786021,27.32652559,0.768629981,2.663017258,1618.73
17031160200,114453,68,,,,,,,,17031150401,5228,115.214514,11.93543598,0.447302728,1.236689258,747
17031160300,76222,101,,,,,,,,17031150402,3599,64.45862099,8.211722048,0.267039152,1.104615717,771.13
17031160400,83598,149,,,,,,,,17031150501,3957,76.7869375,2.643345906,0.153770213,0.293380511,1122.52
17031160501,59000,78,,,,,,,,17031150502,4378,76.68718924,8.095268686,0.458509669,0.864544409,717.5
17031160502,62607,55,,,,,,,,17031150600,4246,104.7518376,8.11208772,0.408960845,1.072509905,886.48
17031160601,82723,75,,,,,,,,17031150700,4197,102.7824631,6.990784879,0.349187215,0.7912813,824.78
17031160602,69594,46,,,,,,,,17031150800,4967,149.4857411,10.43579041,0.326930321,1.093003229,1142.63
17031160700,84713,192,,,,,,,,17031151001,2714,66.51196184,2.301950396,0.390575916,0.210122164,789.92
17031160800,62584,179,,,,,,,,17031151002,4770,122.7032194,24.91522919,0.512404724,2.727952803,1074.23
17031160900,107031,37,,,,,,,,17031151100,5325,137.2937774,10.56417756,0.646192777,1.076291411,847.59
17031161000,136750,57,,,,,,,,17031151200,3474,64.84181931,29.80446728,0.354634402,3.942533853,781.87
17031161100,150357,12,,,,,,,,17031160100,2577,36.66821994,4.563401417,0.152461264,0.808213355,797.97
17031161200,69896,11,,,,,,,,17031160200,3002,56.29619144,28.09137694,0.537032064,5.821537805,2450.23
17031161300,57661,142,,,,,,,,17031160300,3764,104.938137,9.399326201,0.756562189,0.515474769,1001.81
17031170100,86146,7,,,,,,,,17031160400,4693,82.56109191,26.09521897,0.410662667,2.725368324,1038.03
17031170200,73075,9,,,,,,,,17031160501,3870,90.16515788,3.390605633,0.429014364,0.228884675,485.49
17031170300,93281,22,,,,,,,,17031160502,3782,160.1325768,8.599675442,0.483278734,0.532223803,787.24
17031170400,78167,8,,,,,,,,17031160601,3529,125.7931163,17.68129526,0.395471812,1.038395582,776.51
17031170500,103542,19,,,,,,,,17031160602,3681,130.2168609,9.984890182,0.327806064,0.552757827,742.98
17031170700,74141,4,,,,,,,,17031160700,6191,173.3137138,49.03215252,0.352460429,4.047337631,1299.54
17031170800,68611,6,,,,,,,,17031160800,4909,151.3394484,22.28003458,0.75495063,1.954632652,1172.14
17031171000,95865,40,,,,,,,,17031160900,2464,33.07820566,8.920261769,0.305956534,1.200098156,633.01
17031171100,99293,15,,,,,,,,17031161000,2151,40.8129053,8.190788609,0.34701303,1.043189094,525.72
17031180100,76250,14,,,,,,,,17031161100,2043,30.32166674,5.609150627,0.118747919,1.064002664,490.85
17031190100,56597,141,,,,,,,,17031161200,3090,52.31618451,15.80326709,0.227096627,2.024704403,720.18
17031190200,66313,72,,,,,,,,17031161300,3919,128.5322581,29.33420179,0.851593385,2.039250805,655.81
17031190300,72593,41,,,,,,,,17031170100,2058,8.208407972,11.38727151,0.190066858,2.726838586,474.76
17031190401,67000,17,,,,,,,,17031170200,4106,80.04152243,4.245051466,0.197823592,0.613114554,688
17031190402,62825,56,,,,,,,,17031170300,5350,107.6947639,12.52432929,0.377339721,3.54600271,2365.74
17031190601,53375,30,,,,,,,,17031170400,4044,88.27999129,9.700733532,0.204997958,1.136418647,929.39
