,GEOID,0
809,17031090100,10
810,17031814900,9
811,17031640800,9
812,17031810000,9
813,17031817101,9
814,17031770602,9
815,17031841600,8
816,17031812100,8
817,17031813100,8
818,17031810900,8
819,17031520300,8
820,17031640400,8
821,17031809500,7
822,17031835700,7
823,17031816200,7
824,17031826401,7
825,17031811302,7
826,17031815400,7
827,17031520200,7
828,17031807800,6
829,17031817200,6
830,17031817500,6
831,17031820502,6
832,17031813302,6
833,17031826700,6
834,17031826402,6
835,17031813900,6
836,17031811600,6
837,17031823304,5
838,17031821401,5
839,17031821200,5
840,17031340300,5
841,17031812700,5
842,17031816000,5
843,17031813701,5
844,17031560200,5
845,17031460600,4
846,17031813500,4
847,17031826500,4
848,17031630100,4
849,17031827902,4
850,17031810100,3
851,17031815200,3
852,17031815900,3
853,17031770500,3
854,17031816900,3
855,17031817000,3
856,17031770800,3
857,17031800600,3
858,17031802402,3
859,17031820202,3
860,17031825802,3
861,17031520100,3
862,17031826600,3
863,17031812801,3
864,17031809700,3
865,17031810702,3
866,17031812302,3
867,17031821001,2
868,17031814700,2
869,17031815000,2
870,17031810600,2
871,17031813400,2
872,17031816600,2
873,17031170900,2
874,17031820103,2
875,17031800500,2
876,17031805600,2
877,17031820605,2
878,17031827901,2
879,17031825801,2
880,17031821500,2
881,17031809800,2
882,17031806801,2
883,17031825803,2
884,17031510100,2
885,17031520400,2
886,17031821300,2
887,17031825501,2
888,17031821102,1
889,17031814100,1
890,17031808301,1
891,17031826304,1
892,17031815500,1
893,17031823703,1
894,17031816300,1
895,17031811100,1
896,17031817600,1
897,17031817700,1
898,17031823302,1
899,17031811401,1
900,17031808800,1
901,17031830004,1
902,17031813000,1
