GEO_ID,NAME,S1903_C03_015E
id,Geographic Area Name,Estimate!!Median income (dollars)!!FAMILIES!!Families
1400000US17031062800,"Census Tract 628, Cook County, Illinois","250,000+"
1400000US17031062900,"Census Tract 629, Cook County, Illinois",210089
1400000US17031063000,"Census Tract 630, Cook County, Illinois",183438
1400000US17031063100,"Census Tract 631, Cook County, Illinois",165278
1400000US17031063200,"Census Tract 632, Cook County, Illinois",174402
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",131971
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",133618
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",155179
1400000US17031063400,"Census Tract 634, Cook County, Illinois",201949
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",127076
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois","250,000+"
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",71473
1400000US17031070200,"Census Tract 702, Cook County, Illinois",163182
1400000US17031070300,"Census Tract 703, Cook County, Illinois",221023
1400000US17031070400,"Census Tract 704, Cook County, Illinois","250,000+"
1400000US17031070500,"Census Tract 705, Cook County, Illinois","250,000+"
1400000US17031070600,"Census Tract 706, Cook County, Illinois",184196
1400000US17031070700,"Census Tract 707, Cook County, Illinois",195724
1400000US17031071000,"Census Tract 710, Cook County, Illinois","250,000+"
1400000US17031071100,"Census Tract 711, Cook County, Illinois",233947
1400000US17031071200,"Census Tract 712, Cook County, Illinois",117188
1400000US17031071300,"Census Tract 713, Cook County, Illinois",205515
1400000US17031071400,"Census Tract 714, Cook County, Illinois",196053
1400000US17031071500,"Census Tract 715, Cook County, Illinois",185179
1400000US17031071600,"Census Tract 716, Cook County, Illinois",201875
1400000US17031071700,"Census Tract 717, Cook County, Illinois",203438
1400000US17031071800,"Census Tract 718, Cook County, Illinois",183125
1400000US17031080100,"Census Tract 801, Cook County, Illinois","250,000+"
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",151856
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",173220
1400000US17031080300,"Census Tract 803, Cook County, Illinois",200771
1400000US17031080400,"Census Tract 804, Cook County, Illinois",38824
1400000US17031081000,"Census Tract 810, Cook County, Illinois",143750
1400000US17031081100,"Census Tract 811, Cook County, Illinois",140982
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois","250,000+"
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",215813
1400000US17031081300,"Census Tract 813, Cook County, Illinois",157708
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois","250,000+"
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",228750
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",184697
1400000US17031081500,"Census Tract 815, Cook County, Illinois",211600
1400000US17031081600,"Census Tract 816, Cook County, Illinois",180208
1400000US17031081700,"Census Tract 817, Cook County, Illinois",145526
1400000US17031081800,"Census Tract 818, Cook County, Illinois",246467
1400000US17031081900,"Census Tract 819, Cook County, Illinois",153125
1400000US17031090100,"Census Tract 901, Cook County, Illinois",130250
1400000US17031090200,"Census Tract 902, Cook County, Illinois",157083
1400000US17031090300,"Census Tract 903, Cook County, Illinois",133750
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",100639
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",111138
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",116406
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",113553
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",113080
