,GEOID,D4A
414,170318201044,608.87
426,170310306041,140.82
427,170310801007,152.89
428,170311408001,323.21
429,170312522011,130.09
430,170318050021,360.76
431,170318050023,891.84
432,170318050024,419.77
433,170318064001,316.5
434,170318064002,272.25
435,170318065011,297.73
436,170318065012,543.15
437,170318065021,317.85
438,170318065023,488.17
439,170318065024,177.03
440,170318103011,390.27
441,170318103012,422.45
442,170318103013,73.76
443,170318103014,341.99
444,170318103021,422.45
445,170318103023,0.0
446,170318104001,474.76
447,170318104002,796.63
448,170318142002,321.87
449,170318142005,315.16
450,170318142006,520.35
451,170318174002,0.0
452,170318144001,108.63
453,170318144002,307.12
454,170318175001,199.83
455,170898536002,434.52
457,170898532002,460.0
458,170898511012,441.23
459,170318175002,230.67
460,170318175003,178.37
461,170318175004,148.86
462,170318176002,256.15
463,170316304004,229.33
464,170318024023,226.65
465,170318024024,429.16
466,170318025033,792.6
467,170318025034,348.69
473,170312609002,207.87
474,170312608002,158.25
475,170312609001,468.05
476,170314008002,171.66
477,170312610002,201.17
486,170312912002,123.38
487,170318431001,147.52
489,171978814022,454.64
490,171978814023,535.11
491,171978814011,0.0
492,171978806023,364.78
493,171978813012,344.67
495,170318433001,253.47
496,170318387004,227.99
497,170318431002,166.3
498,170314008001,233.35
499,170318363001,171.66
500,170314105001,292.36
501,170314108001,341.99
502,170314105002,130.09
503,170314106002,226.65
504,170314107001,331.26
505,170314108002,103.27
506,170314903001,237.38
507,170318080023,618.26
508,170318055012,245.42
509,170318080011,118.02
510,170318080012,257.5
511,170318080013,535.11
512,170318080022,524.38
513,170318190003,777.85
514,170318080024,30.85
515,170318119004,587.41
516,170318120001,364.78
517,170318120003,575.34
518,170318120004,494.87
519,170318120005,372.83
520,170318120006,81.81
521,170318121001,240.06
522,170318121002,201.17
523,170318157014,272.25
524,170318157021,873.07
525,170318157022,764.44
526,170318157023,525.72
527,170318157024,615.57
528,170318188005,0.0
529,170318188006,572.66
530,170318189001,0.0
531,170318189002,363.44
532,170318189003,435.86
533,170318192003,167.64
534,170318191001,926.71
538,170318030132,709.45
542,170318055013,431.84
543,170318055021,784.56
544,170318055022,819.42
545,170318055023,0.0
546,170318055024,799.31
547,170318056001,481.46
548,170318056002,395.63
549,170318056003,409.04
550,170318081002,382.22
551,170318082001,124.72
552,170318082002,84.49
553,170318082003,370.15
554,170318083011,592.78
555,170318121003,457.32
556,170318121004,256.15
557,170318121005,281.64
558,170318122001,308.46
559,170318122002,470.73
560,170318122003,462.69
561,170318122004,280.29
562,170318123021,270.91
563,170318157025,705.43
564,170318158001,258.84
565,170318159001,430.5
566,170318159002,297.73
567,170318159003,462.69
568,170318160001,316.5
569,170318160002,238.72
570,170318191002,627.64
571,170318191003,394.29
572,170318191004,138.14
573,170318192001,686.65
574,170318192002,368.81
579,170318032003,958.9
580,170318033003,553.88
584,170318056004,293.71
585,170318057011,918.67
586,170318057014,413.06
587,170318057015,460.0
588,170318057021,320.53
589,170318057022,514.99
590,170318058011,435.86
591,170318083012,46.94
592,170318083013,262.86
593,170318083021,170.32
594,170318083022,93.88
595,170318083023,108.63
596,170318084001,682.63
597,170318123022,473.42
598,170318123013,95.22
599,170318123012,45.6
600,170318124001,226.65
601,170318124002,248.11
602,170318124003,312.48
603,170318125001,227.99
604,170318125002,183.73
605,170318160003,343.33
606,170318161001,221.28
607,170318161002,273.59
608,170318161003,434.52
609,170318161004,284.32
610,170318161005,441.23
611,170318192004,1066.19
612,170318193001,130.09
613,170318193002,123.38
614,170318193003,130.09
616,170318194004,540.47
617,170318194005,1189.57
618,170318195001,372.83
623,170318034006,1032.66
635,170318126003,236.04
636,170318058012,791.26
638,170318058021,364.78
639,170318058022,607.53
640,170318058023,559.25
641,170318058024,822.11
642,170318058025,704.09
643,170318084002,371.49
644,170318084003,371.49
645,170318085003,426.48
646,170318085004,541.81
647,170318125003,112.65
648,170318126002,311.14
649,170318127003,392.95
650,170318126004,358.08
651,170318127001,186.42
652,170318127002,423.79
653,170318128023,219.94
654,170318129001,516.33
655,170318195003,218.6
656,170318162001,661.17
657,170318162002,439.89
658,170318163001,232.01
659,170318163002,218.6
660,170318163004,244.08
661,170318164011,442.57
662,170318195002,435.86
663,170318195004,755.05
664,170312522021,223.97
665,170318196002,0.0
674,170312505004,716.16
675,170316406002,104.61
676,170312819001,237.38
677,170312819002,111.31
678,170318419001,163.62
679,170313802001,423.79
680,170314503002,264.2
681,170314503003,163.62
682,170314601003,272.25
683,170314601004,181.05
684,170314602001,683.97
685,170315305011,203.85
686,170315305012,409.04
687,170315305031,107.29
688,170315306001,352.71
689,170315306002,0.0
690,170315306003,0.0
691,170318426003,438.55
692,170318438001,292.36
693,170316111003,337.96
694,170316113001,214.58
695,170312507002,217.26
696,170312507003,154.23
697,171978835213,950.85
699,171978812003,0.0
702,170312507004,198.49
703,170312507005,470.73
704,170312508001,280.29
705,170312508002,207.87
706,170312511001,249.45
707,170312511002,281.64
708,170312521023,287.0
709,170312522023,187.76
713,171978835092,899.89
715,171978835211,1042.05
718,170318329002,261.52
719,170318329001,337.96
720,170318381003,179.71
721,170312827001,185.07
722,170312828001,215.92
723,171978820003,80.47
724,171978818001,565.95
727,171978828012,555.22
728,171978828011,470.73
729,170318360001,140.82
730,171978812002,0.0
731,171978821002,166.3
733,170313805001,166.3
734,170318360002,391.61
735,170314603023,457.32
736,170313812001,291.02
737,170314603021,173.0
738,170314603022,580.7
739,170314603013,619.6
740,170314605001,241.4
741,170314603011,303.09
742,170314603012,122.04
743,170314604002,710.79
745,171978826022,215.92
746,171978817002,661.17
748,171978825002,131.43
749,171978826011,136.79
750,170314604003,654.47
751,170314604004,207.87
752,170316114001,337.96
753,170315401013,203.85
754,170316113002,313.82
755,170316113003,446.59
756,170316114003,205.19
757,170316117001,374.17
758,170316115002,403.68
759,170316116001,241.4
760,170316116002,215.92
761,170316117003,177.03
762,170312513004,282.98
763,170312512002,218.6
764,170312512003,333.94
765,170312512001,93.88
766,170312513001,177.03
767,170312513002,166.3
769,170312513005,135.45
770,170312514002,256.15
771,170312514003,241.4
772,170318095003,363.44
774,170318047111,768.46
775,170318047112,305.78
776,170318047113,725.55
778,170318060043,359.42
779,170318061031,779.19
780,170318061033,191.78
