,GEOID,MedianIncome,Pickup
262,17031222700,74000,82
263,17031222800,47031,15
264,17031222900,55375,3
265,17031230100,61250,42
266,17031230200,61406,35
267,17031230400,54625,11
268,17031230500,33672,35
269,17031230600,42902,282
270,17031230700,44798,213
271,17031230800,59539,3
272,17031230900,56667,270
273,17031231200,36330,197
274,17031231500,41722,263
275,17031240200,199464,87
276,17031240300,167083,268
277,17031240500,209917,451
278,17031240600,138333,86
279,17031240700,96324,76
280,17031240800,64531,45
281,17031240900,43098,84
282,17031241000,62011,122
283,17031241100,66667,436
284,17031241200,163214,170
285,17031241300,183750,179
286,17031241400,189896,2007
287,17031241500,176250,1416
288,17031241600,119500,924
289,17031242000,131853,1034
290,17031242100,156607,1170
291,17031242200,158906,775
292,17031242300,128833,436
293,17031242400,151625,360
294,17031242500,89176,291
295,17031242600,60735,583
296,17031242700,51146,61
297,17031242800,103333,79
298,17031242900,135156,89
299,17031243000,103906,244
300,17031243100,145625,292
301,17031243200,173966,386
302,17031243300,120078,549
303,17031243400,104750,671
304,17031243500,182543,1954
305,17031250200,65329,13
306,17031250300,35278,38
307,17031250400,49647,132
308,17031250500,115074,55
309,17031250600,62188,54
310,17031250700,44929,174
311,17031250800,45492,98
312,17031251000,29276,6
313,17031251100,30805,75
314,17031251200,51419,72
315,17031251300,37067,86
316,17031251400,57952,98
317,17031251500,37679,92
318,17031251600,26781,65
319,17031251700,57898,5
320,17031251800,27091,253
321,17031251900,21463,278
322,17031252000,26222,224
323,17031252101,28421,14
324,17031252102,49542,335
325,17031252201,38984,63
326,17031252202,28300,221
327,17031260100,31250,14
328,17031260200,38056,16
329,17031260300,37784,23
330,17031260400,0,7
331,17031260500,32109,6
332,17031260600,28315,39
333,17031260700,28875,30
334,17031260800,24153,47
335,17031260900,42208,24
336,17031261000,35058,47
337,17031270500,32083,37
338,17031271200,33565,22
339,17031271300,25517,16
340,17031271400,25391,41
341,17031271500,46917,12
342,17031271800,20104,14
343,17031280100,195677,4366
344,17031280400,26625,53
345,17031280800,31429,15
346,17031280900,17458,59
347,17031281900,142569,3344
348,17031282700,59009,205
349,17031282800,76488,77
350,17031283100,53967,252
351,17031283200,92500,57
352,17031283800,125833,162
353,17031290900,30056,147
354,17031291200,17857,61
355,17031292200,38212,80
356,17031292400,41875,44
357,17031292500,44732,76
358,17031300500,36184,19
359,17031300600,44931,32
360,17031300700,37730,24
361,17031300800,30313,17
362,17031300900,31204,29
363,17031301100,37946,3
364,17031301200,33866,103
365,17031301600,29385,20
366,17031301701,39076,20
367,17031301702,44706,9
368,17031301801,37816,20
369,17031301802,35846,18
370,17031301803,40844,9
371,17031310200,74236,86
372,17031310300,53500,166
373,17031310400,97083,64
374,17031310500,35365,82
375,17031310600,51597,711
376,17031310700,58371,38
377,17031310800,62861,273
378,17031310900,36996,207
379,17031320100,181226,6997
380,17031320400,250000,2061
381,17031320600,178881,2562
382,17031330100,180539,5332
383,17031330200,159583,378
384,17031340400,53173,2
385,17031340500,24395,11
386,17031340600,16114,8
387,17031350100,79125,127
388,17031350400,19444,19
389,17031351000,0,481
390,17031351100,11457,118
391,17031351400,16622,51
392,17031351500,13707,9
393,17031360200,36802,36
394,17031380100,49940,28
395,17031380200,0,28
396,17031380500,22019,1
397,17031380700,45495,9
398,17031381200,87250,59
399,17031381400,26321,73
400,17031381500,0,5
401,17031381800,44286,28
402,17031381900,54308,19
403,17031390100,104563,62
404,17031390200,102031,16
405,17031390300,24405,121
406,17031390400,68750,106
407,17031390500,82333,12
408,17031390600,121250,47
409,17031390700,117125,352
410,17031400300,34500,74
411,17031400400,35881,40
412,17031400500,22419,157
413,17031400800,23134,169
414,17031410100,101289,294
415,17031410200,78417,16
416,17031410500,128307,141
417,17031410600,83125,74
418,17031410700,100927,307
419,17031410800,77788,547
420,17031410900,115179,170
421,17031411000,103438,327
422,17031411100,188819,39
423,17031411200,200000,48
424,17031420100,24107,27
425,17031420200,41618,35
426,17031420300,51447,59
427,17031420400,27000,27
428,17031420500,40063,174
429,17031420600,27813,74
430,17031420700,25024,160
431,17031420800,46389,132
432,17031421200,57778,19
433,17031430101,31926,274
434,17031430102,38629,99
435,17031430200,33085,236
436,17031430300,16935,85
437,17031430400,44386,127
438,17031430500,19532,263
439,17031430600,46806,163
440,17031430700,0,85
441,17031430800,72637,9
442,17031430900,56513,21
443,17031431200,69500,48
444,17031431301,38125,146
445,17031431302,34141,296
446,17031431400,30774,347
447,17031440101,21512,273
448,17031440102,41334,163
449,17031440201,40269,328
450,17031440202,49861,121
451,17031440300,67159,156
452,17031440600,68606,13
453,17031440700,61000,9
454,17031440800,26875,13
455,17031440900,65233,49
456,17031450300,59938,87
457,17031460100,39659,34
458,17031460301,38846,17
459,17031460302,29980,57
460,17031460400,58704,57
461,17031460500,78553,182
462,17031460700,25625,10
463,17031461000,44732,25
464,17031470100,59732,61
465,17031480100,78281,10
466,17031480200,56250,11
467,17031480300,66071,8
468,17031480400,71438,106
469,17031480500,50313,18
470,17031490300,70000,20
471,17031490500,59922,42
472,17031490600,43073,12
473,17031490700,56250,25
474,17031490800,45385,46
475,17031490901,45819,50
476,17031490902,56296,87
477,17031491000,58889,112
478,17031491100,63301,63
479,17031491200,55000,5
480,17031491300,35417,17
481,17031491400,35284,78
482,17031500100,67044,34
483,17031500200,35833,281
484,17031500300,45903,16
485,17031510200,52188,3
486,17031510300,30741,310
487,17031520400,54093,3
488,17031530100,48958,1
489,17031530200,51563,59
490,17031530300,52045,34
491,17031530400,70556,11
492,17031530501,51086,97
493,17031530502,57667,2
494,17031530503,55066,53
495,17031530600,42976,36
496,17031540101,22452,98
497,17031540102,21125,34
498,17031550100,74219,14
499,17031550200,79464,5
500,17031560100,72188,5
501,17031560200,63214,2
502,17031560300,54119,10
503,17031560400,56202,2
504,17031560700,69631,13
505,17031560800,86000,22
506,17031560900,107159,2
507,17031561000,129617,5
508,17031561100,101985,4
509,17031570100,54514,24
510,17031570200,74659,22
511,17031570300,52786,60
512,17031570500,52986,11
513,17031580100,46500,16
514,17031580200,36944,9
515,17031580300,54130,2
516,17031580400,51216,15
517,17031580501,38989,24
518,17031580502,42516,27
519,17031580600,61386,36
520,17031580700,44802,31
521,17031590500,76923,13
522,17031590600,51176,29
523,17031590700,51818,29
524,17031600400,0,38
525,17031600600,37909,9
526,17031600700,44911,16
527,17031600900,60750,68
528,17031610300,42466,182
529,17031610400,42721,2
530,17031611000,29750,2
531,17031611100,31250,5
532,17031611200,27773,9
533,17031611300,37917,14
534,17031611400,43299,14
535,17031611500,35884,30
536,17031611600,37583,12
537,17031611700,29083,8
538,17031611800,58092,1
539,17031611900,25658,6
540,17031612000,57798,7
541,17031612100,38958,1
542,17031620100,64438,20
543,17031620200,75833,14
544,17031620300,63587,25
545,17031620400,78656,9
546,17031630300,52286,74
547,17031630400,36221,44
548,17031630500,48859,37
549,17031630800,53273,54
550,17031630900,46113,15
551,17031640100,55750,1
552,17031640300,72284,15
553,17031640400,69857,14
554,17031640500,92975,9
555,17031640600,54252,9
556,17031640700,62333,3
557,17031650100,42123,17
558,17031650200,60868,51
559,17031650301,64750,31
560,17031650302,49680,12
561,17031650400,57022,27
562,17031650500,74718,88
563,17031660301,31146,1
564,17031660302,36713,29
565,17031660400,60069,25
566,17031660500,45139,16
567,17031660600,31205,160
568,17031660700,27000,31
569,17031660800,37854,108
570,17031660900,36991,134
571,17031661000,43235,102
572,17031661100,64419,41
573,17031670100,36587,6
574,17031670200,35833,9
575,17031670300,33750,6
576,17031670400,39000,2
577,17031670700,34063,7
578,17031670800,27917,9
579,17031670900,34271,2
580,17031671100,36042,1
581,17031671200,35208,5
582,17031671300,32614,11
583,17031671400,42321,2
584,17031671500,32163,100
585,17031671600,30242,9
586,17031671800,38698,4
587,17031672000,37354,70
588,17031680500,23864,4
589,17031680600,21250,8
590,17031680900,23808,297
591,17031681000,24604,42
592,17031681100,30330,72
593,17031681200,24275,75
594,17031681300,30156,49
595,17031681400,40156,27
596,17031690300,19167,78
597,17031690400,29207,159
598,17031690500,33833,12
599,17031690900,61125,184
600,17031691000,71016,112
601,17031691100,25729,125
602,17031691200,31250,156
603,17031691300,46250,54
604,17031691400,38056,171
