,GEOID,MedianIncome
320,17031251100,30805
321,17031251200,51419
322,17031251300,37067
323,17031251400,57952
324,17031251500,37679
325,17031251600,26781
326,17031251700,57898
327,17031251800,27091
328,17031251900,21463
329,17031252000,26222
330,17031252101,28421
331,17031252102,49542
332,17031252201,38984
333,17031252202,28300
334,17031260100,31250
335,17031260200,38056
336,17031260300,37784
337,17031260400,0
338,17031260500,32109
339,17031260600,28315
340,17031260700,28875
341,17031260800,24153
342,17031260900,42208
343,17031261000,35058
344,17031270500,32083
345,17031271200,33565
346,17031271300,25517
347,17031271400,25391
348,17031271500,46917
349,17031271800,20104
350,17031280100,195677
351,17031280400,26625
352,17031280800,31429
353,17031280900,17458
354,17031281900,142569
355,17031282700,59009
356,17031282800,76488
357,17031283100,53967
358,17031283200,92500
359,17031283800,125833
360,17031290900,30056
361,17031291200,17857
362,17031291600,50347
363,17031292200,38212
364,17031292400,41875
365,17031292500,44732
366,17031300500,36184
367,17031300600,44931
368,17031300700,37730
369,17031300800,30313
370,17031300900,31204
371,17031301100,37946
372,17031301200,33866
373,17031301600,29385
374,17031301701,39076
375,17031301702,44706
376,17031301801,37816
377,17031301802,35846
378,17031301803,40844
379,17031310200,74236
380,17031310300,53500
381,17031310400,97083
382,17031310500,35365
383,17031310600,51597
384,17031310700,58371
385,17031310800,62861
386,17031310900,36996
387,17031320100,181226
388,17031320400,250000
389,17031320600,178881
390,17031330100,180539
391,17031330200,159583
392,17031340300,44779
393,17031340400,53173
394,17031340500,24395
395,17031340600,16114
396,17031350100,79125
397,17031350400,19444
398,17031351000,0
399,17031351100,11457
400,17031351400,16622
401,17031351500,13707
402,17031360200,36802
403,17031380100,49940
404,17031380200,0
405,17031380500,22019
406,17031380700,45495
407,17031381200,87250
408,17031381400,26321
409,17031381500,0
410,17031381700,0
411,17031381800,44286
412,17031381900,54308
413,17031390100,104563
414,17031390200,102031
415,17031390300,24405
416,17031390400,68750
417,17031390500,82333
418,17031390600,121250
419,17031390700,117125
420,17031400300,34500
421,17031400400,35881
422,17031400500,22419
423,17031400800,23134
424,17031410100,101289
425,17031410200,78417
426,17031410500,128307
427,17031410600,83125
428,17031410700,100927
429,17031410800,77788
430,17031410900,115179
431,17031411000,103438
432,17031411100,188819
433,17031411200,200000
434,17031420100,24107
435,17031420200,41618
436,17031420300,51447
437,17031420400,27000
438,17031420500,40063
439,17031420600,27813
440,17031420700,25024
441,17031420800,46389
442,17031421200,57778
443,17031430101,31926
444,17031430102,38629
445,17031430200,33085
446,17031430300,16935
447,17031430400,44386
448,17031430500,19532
449,17031430600,46806
450,17031430700,0
451,17031430800,72637
452,17031430900,56513
453,17031431200,69500
454,17031431301,38125
455,17031431302,34141
456,17031431400,30774
457,17031440101,21512
458,17031440102,41334
459,17031440201,40269
460,17031440202,49861
461,17031440300,67159
462,17031440600,68606
463,17031440700,61000
464,17031440800,26875
465,17031440900,65233
466,17031450300,59938
467,17031460100,39659
468,17031460200,32266
469,17031460301,38846
470,17031460302,29980
471,17031460400,58704
472,17031460500,78553
473,17031460600,39837
474,17031460700,25625
475,17031461000,44732
476,17031470100,59732
477,17031480100,78281
478,17031480200,56250
479,17031480300,66071
480,17031480400,71438
481,17031480500,50313
482,17031490300,70000
483,17031490400,76111
484,17031490500,59922
485,17031490600,43073
486,17031490700,56250
487,17031490800,45385
488,17031490901,45819
489,17031490902,56296
490,17031491000,58889
491,17031491100,63301
492,17031491200,55000
493,17031491300,35417
494,17031491400,35284
495,17031500100,67044
496,17031500200,35833
497,17031500300,45903
498,17031510100,43355
499,17031510200,52188
500,17031510300,30741
501,17031520100,53427
502,17031520200,35000
503,17031520300,51667
504,17031520400,54093
505,17031520500,65972
506,17031520600,57917
507,17031530100,48958
508,17031530200,51563
509,17031530300,52045
510,17031530400,70556
511,17031530501,51086
512,17031530502,57667
513,17031530503,55066
514,17031530600,42976
515,17031540101,22452
516,17031540102,21125
517,17031550100,74219
518,17031550200,79464
519,17031560100,72188
520,17031560200,63214
521,17031560300,54119
522,17031560400,56202
523,17031560700,69631
524,17031560800,86000
525,17031560900,107159
526,17031561000,129617
527,17031561100,101985
528,17031570100,54514
529,17031570200,74659
530,17031570300,52786
531,17031570400,63000
532,17031570500,52986
533,17031580100,46500
534,17031580200,36944
535,17031580300,54130
536,17031580400,51216
537,17031580501,38989
538,17031580502,42516
539,17031580600,61386
540,17031580700,44802
541,17031580800,47841
542,17031590500,76923
543,17031590600,51176
544,17031590700,51818
545,17031600400,0
546,17031600600,37909
547,17031600700,44911
548,17031600900,60750
549,17031610300,42466
550,17031610400,42721
551,17031610800,63250
552,17031611000,29750
553,17031611100,31250
554,17031611200,27773
555,17031611300,37917
556,17031611400,43299
557,17031611500,35884
558,17031611600,37583
559,17031611700,29083
560,17031611800,58092
561,17031611900,25658
562,17031612000,57798
563,17031612100,38958
564,17031620100,64438
565,17031620200,75833
566,17031620300,63587
567,17031620400,78656
568,17031630100,37625
569,17031630200,52188
570,17031630300,52286
571,17031630400,36221
572,17031630500,48859
573,17031630800,53273
574,17031630900,46113
575,17031640100,55750
576,17031640300,72284
577,17031640400,69857
578,17031640500,92975
579,17031640600,54252
580,17031640700,62333
581,17031640800,62222
582,17031650100,42123
583,17031650200,60868
584,17031650301,64750
585,17031650302,49680
586,17031650400,57022
587,17031650500,74718
588,17031660301,31146
589,17031660302,36713
590,17031660400,60069
591,17031660500,45139
592,17031660600,31205
593,17031660700,27000
594,17031660800,37854
595,17031660900,36991
596,17031661000,43235
597,17031661100,64419
598,17031670100,36587
599,17031670200,35833
600,17031670300,33750
601,17031670400,39000
602,17031670500,32917
603,17031670600,48021
604,17031670700,34063
605,17031670800,27917
606,17031670900,34271
607,17031671100,36042
608,17031671200,35208
609,17031671300,32614
610,17031671400,42321
611,17031671500,32163
612,17031671600,30242
613,17031671800,38698
614,17031671900,50750
615,17031672000,37354
616,17031680500,23864
617,17031680600,21250
618,17031680900,23808
619,17031681000,24604
620,17031681100,30330
621,17031681200,24275
622,17031681300,30156
623,17031681400,40156
624,17031690300,19167
625,17031690400,29207
626,17031690500,33833
627,17031690900,61125
628,17031691000,71016
629,17031691100,25729
630,17031691200,31250
631,17031691300,46250
632,17031691400,38056
633,17031691500,31081
634,17031700100,73523
635,17031700200,74915
636,17031700301,75737
637,17031700302,80195
638,17031700401,79722
639,17031700402,65871
640,17031700501,73688
641,17031700502,121182
642,17031710100,22303
643,17031710200,33995
644,17031710300,36985
645,17031710400,63042
646,17031710500,31804
647,17031710600,38269
648,17031710700,40882
649,17031710800,33325
650,17031710900,37153
651,17031711000,38664
652,17031711100,49750
653,17031711200,70224
654,17031711300,67273
655,17031711400,46083
656,17031711500,44583
657,17031720100,172935
658,17031720200,93318
659,17031720300,123715
660,17031720400,140804
661,17031720500,156992
662,17031720600,131250
663,17031720700,107292
664,17031730100,69643
665,17031730201,52344
666,17031730202,71364
667,17031730300,57188
668,17031730400,98207
669,17031730500,61485
670,17031730600,48523
671,17031730700,53777
672,17031740100,105577
673,17031740200,123625
674,17031740300,140000
675,17031740400,110234
676,17031750100,46094
677,17031750200,112083
678,17031750300,110536
679,17031750400,119803
680,17031750500,68327
681,17031750600,56023
682,17031760801,75553
683,17031760802,90382
684,17031760803,52658
685,17031770201,92216
686,17031770202,90125
687,17031770300,91319
688,17031770400,91964
689,17031770500,41088
690,17031770601,108357
691,17031770602,74500
692,17031770700,80921
693,17031770800,62585
694,17031770901,95592
695,17031770902,81974
696,17031800100,250000
697,17031800200,250000
698,17031800300,250000
699,17031800400,250000
700,17031800500,250000
701,17031800600,250000
702,17031800700,233750
703,17031800800,139907
704,17031800900,129006
705,17031801000,166250
706,17031801100,199306
707,17031801200,250000
708,17031801300,250000
709,17031801400,158250
710,17031801500,135739
711,17031801601,150000
712,17031801603,51319
713,17031801605,157458
714,17031801606,161544
715,17031801607,120405
716,17031801608,140825
717,17031801701,197417
718,17031801702,146375
719,17031801800,189219
720,17031801901,126576
721,17031801902,194205
722,17031802002,142008
723,17031802003,111375
724,17031802004,52095
725,17031802100,182868
726,17031802200,166691
727,17031802300,189527
728,17031802402,71959
729,17031802403,100375
730,17031802404,64922
731,17031802503,96938
732,17031802504,89261
733,17031802505,59398
734,17031802506,97344
735,17031802605,116940
736,17031802607,122639
737,17031802608,87321
738,17031802609,58510
739,17031802610,104511
740,17031802701,106875
741,17031802702,116831
742,17031802801,132566
743,17031802802,120760
744,17031802900,157262
745,17031803005,114250
746,17031803007,116979
747,17031803008,130197
748,17031803010,129118
749,17031803012,82423
750,17031803013,125221
751,17031803014,79485
752,17031803015,105500
753,17031803016,105882
754,17031803017,116974
755,17031803100,147188
756,17031803200,131174
757,17031803300,132390
758,17031803400,141082
759,17031803500,142000
760,17031803603,179949
761,17031803604,94375
762,17031803605,102100
763,17031803606,53662
764,17031803607,125673
765,17031803608,89667
766,17031803610,98018
767,17031803611,68984
768,17031803612,53803
769,17031803701,144615
770,17031803702,135966
771,17031803800,122865
772,17031803901,93967
773,17031803902,97602
774,17031804000,101129
775,17031804102,160625
776,17031804104,128368
777,17031804105,139760
778,17031804106,129375
779,17031804108,96176
780,17031804109,145750
781,17031804201,160667
782,17031804202,161221
783,17031804305,85139
784,17031804306,71025
785,17031804308,80030
786,17031804309,93750
787,17031804310,102447
788,17031804311,117218
789,17031804403,91690
790,17031804404,86563
791,17031804405,61719
792,17031804406,79357
793,17031804505,72772
794,17031804506,123145
795,17031804507,128664
796,17031804508,71350
797,17031804509,78771
798,17031804510,66406
799,17031804511,59934
800,17031804603,86982
801,17031804606,135385
802,17031804607,104330
803,17031804608,119118
804,17031804609,113750
805,17031804610,80900
806,17031804611,115353
807,17031804701,84748
808,17031804705,82059
809,17031804706,115625
810,17031804709,77750
811,17031804710,110282
812,17031804711,77768
813,17031804712,106458
814,17031804713,95532
815,17031804714,86109
816,17031804715,53321
817,17031804716,101771
818,17031804803,83603
819,17031804804,84861
820,17031804805,103269
821,17031804806,81500
822,17031804807,99534
823,17031804808,121429
824,17031804809,99556
825,17031804810,92891
826,17031804901,122267
827,17031804902,108323
828,17031805001,135602
829,17031805002,59621
830,17031805105,65117
831,17031805106,98636
832,17031805107,70139
833,17031805108,74943
834,17031805109,97165
835,17031805110,93447
836,17031805111,64838
837,17031805112,79444
838,17031805201,102375
839,17031805202,118409
840,17031805301,85104
841,17031805302,96685
842,17031805401,99609
843,17031805402,100625
844,17031805501,147279
845,17031805502,198406
846,17031805600,159333
847,17031805701,157813
848,17031805702,139643
849,17031805801,138281
850,17031805802,136071
851,17031805901,103077
852,17031805902,142045
853,17031806001,61134
854,17031806002,56908
855,17031806003,82309
856,17031806004,58352
857,17031806102,113828
858,17031806103,107230
859,17031806104,57328
860,17031806201,54167
861,17031806202,69575
862,17031806300,108083
863,17031806400,111964
864,17031806501,59821
865,17031806502,88507
866,17031806600,90865
867,17031806700,144300
868,17031806801,91364
869,17031806802,69167
870,17031806900,100481
871,17031807000,68778
872,17031807100,126350
873,17031807200,102275
874,17031807300,72273
875,17031807400,64005
876,17031807500,119020
877,17031807600,72011
878,17031807700,85056
879,17031807800,125500
880,17031807900,156125
881,17031808001,108750
882,17031808002,105516
883,17031808100,70726
884,17031808200,80577
885,17031808301,98367
886,17031808302,107083
887,17031808400,101412
888,17031808500,100725
889,17031808600,203333
890,17031808702,175000
891,17031808800,226806
892,17031808900,195625
893,17031809000,209531
894,17031809100,165417
895,17031809200,60042
896,17031809300,184083
897,17031809400,128897
898,17031809500,117955
899,17031809600,95563
900,17031809700,110809
901,17031809800,183750
902,17031809900,217458
903,17031810000,148583
904,17031810100,84024
905,17031810200,72628
906,17031810301,96058
907,17031810302,116434
908,17031810400,138507
909,17031810501,99306
910,17031810502,73257
911,17031810600,69295
912,17031810701,64663
913,17031810702,83894
914,17031810800,82911
915,17031810900,65758
916,17031811000,119519
917,17031811100,66053
918,17031811200,84018
919,17031811301,79091
920,17031811302,43720
921,17031811401,80000
922,17031811402,70759
923,17031811500,86048
924,17031811600,56143
925,17031811701,69355
926,17031811702,60179
927,17031811800,80052
928,17031811900,210875
929,17031812000,183098
930,17031812100,128750
931,17031812200,238688
932,17031812301,99750
933,17031812302,161219
934,17031812400,234167
935,17031812500,130125
936,17031812600,108056
937,17031812700,119444
938,17031812801,101350
939,17031812802,103239
940,17031812900,155160
941,17031813000,127330
942,17031813100,114653
943,17031813200,161268
944,17031813301,39750
945,17031813302,39508
946,17031813400,49453
947,17031813500,62281
948,17031813600,56919
949,17031813701,49453
950,17031813702,52055
951,17031813801,50417
952,17031813802,43346
953,17031813900,44884
954,17031814000,50642
955,17031814100,45492
956,17031814200,47321
957,17031814300,55238
958,17031814400,54489
959,17031814500,68328
960,17031814600,65000
961,17031814700,81698
962,17031814800,75668
963,17031814900,69112
964,17031815000,69458
965,17031815100,83665
966,17031815200,59400
967,17031815300,85828
968,17031815400,75833
969,17031815500,74491
970,17031815600,77941
971,17031815701,137981
972,17031815702,122344
973,17031815800,115156
974,17031815900,92688
975,17031816000,120833
976,17031816100,89674
977,17031816200,76607
978,17031816300,64031
979,17031816401,50081
980,17031816402,55817
981,17031816500,43188
982,17031816600,60192
983,17031816700,57664
984,17031816800,72476
985,17031816900,70370
986,17031817000,62303
987,17031817101,54261
988,17031817102,76105
989,17031817200,60114
990,17031817300,48977
991,17031817400,63380
992,17031817500,56838
993,17031817600,53841
994,17031817700,78750
995,17031817900,68150
996,17031818000,72730
997,17031818100,116225
998,17031818200,97740
999,17031818300,71182
1000,17031818401,92500
1001,17031818402,97574
1002,17031818500,106071
1003,17031818600,109315
1004,17031818700,116667
1005,17031818800,110675
1006,17031818900,116750
1007,17031819000,169915
1008,17031819100,71652
1009,17031819200,71717
1010,17031819300,83889
1011,17031819400,84250
1012,17031819500,128482
1013,17031819600,168864
1014,17031819700,186071
1015,17031819801,188317
1016,17031819802,193036
1017,17031819900,200438
1018,17031820000,232375
1019,17031820101,142692
1020,17031820103,87891
1021,17031820104,97692
1022,17031820201,147853
1023,17031820202,62472
1024,17031820300,57074
1025,17031820400,42519
1026,17031820501,72128
1027,17031820502,70485
1028,17031820603,76417
1029,17031820604,45417
1030,17031820605,49899
1031,17031820606,75481
1032,17031820700,77092
1033,17031820800,74423
1034,17031820901,67571
1035,17031820902,92430
1036,17031821001,70268
1037,17031821002,67303
1038,17031821101,71304
1039,17031821102,60536
1040,17031821200,66952
1041,17031821300,49425
1042,17031821401,48981
1043,17031821402,76290
1044,17031821500,41027
1045,17031821600,79333
1046,17031821700,98125
1047,17031821800,90863
1048,17031821900,98869
1049,17031822000,60580
1050,17031822101,81518
1051,17031822102,105833
1052,17031822200,97108
1053,17031822301,75938
1054,17031822302,74960
1055,17031822400,47730
1056,17031822500,76642
1057,17031822601,101740
1058,17031822602,77003
1059,17031822701,78571
1060,17031822702,67037
1061,17031822801,106731
1062,17031822802,84444
1063,17031822900,75586
1064,17031823001,48409
1065,17031823002,80673
1066,17031823101,57283
1067,17031823102,83092
1068,17031823200,78268
1069,17031823302,65373
1070,17031823303,80104
1071,17031823304,83300
1072,17031823400,63750
1073,17031823500,63487
1074,17031823602,80852
1075,17031823603,44875
1076,17031823604,102450
1077,17031823605,96121
1078,17031823702,70096
1079,17031823703,62511
1080,17031823704,96750
